DaysFromAssumption,Cumulative,PM
992,1,Thatcher
1094,2,Thatcher
1095,3,Thatcher
1095,4,Thatcher
1095,5,Thatcher
1188,6,Thatcher
1488,7,Thatcher
1650,8,Thatcher
2040,9,Thatcher
2015,10,Thatcher
1711,11,Thatcher
2152,12,Thatcher
2387,13,Thatcher
2614,14,Thatcher
2454,15,Thatcher
2573,16,Thatcher
3096,17,Thatcher
3437,18,Thatcher
3513,19,Thatcher
3830,20,Thatcher
3953,21,Thatcher
3988,22,Thatcher
4087,23,Thatcher
4207,24,Thatcher
3904,25,Thatcher
175,1,Major
664,2,Major
715,3,Major
939,4,Major
1023,5,Major
1250,6,Major
1434,7,Major
1377,8,Major
1422,9,Major
1427,10,Major
1738,11,Major
1708,12,Major
1800,13,Major
1648,14,Major
1671,15,Major
1621,16,Major
1621,17,Major
1784,18,Major
1896,19,Major
2063,20,Major
2064,21,Major
2064,22,Major
2176,23,Major
5,1,Blair
163,2,Blair
538,3,Blair
600,4,Blair
600,5,Blair
855,6,Blair
745,7,Blair
816,8,Blair
651,9,Blair
973,10,Blair
1003,11,Blair
1363,12,Blair
1593,13,Blair
1852,14,Blair
2001,15,Blair
2145,16,Blair
2146,17,Blair
2146,18,Blair
2408,19,Blair
2380,20,Blair
2438,21,Blair
2656,22,Blair
2784,23,Blair
2842,24,Blair
3240,25,Blair
3325,26,Blair
3449,27,Blair
3621,28,Blair
3837,29,Blair
112,1,Brown
14,2,Brown
211,3,Brown
531,4,Brown
447,5,Brown
590,6,Brown
590,7,Brown
590,8,Brown
649,9,Brown
679,10,Brown
679,11,Brown
771,12,Brown
719,13,Brown
755,14,Brown
755,15,Brown
758,16,Brown
824,17,Brown
18,1,Cameron
521,2,Cameron
661,3,Cameron
892,4,Cameron
1147,5,Cameron
1544,6,Cameron
1577,7,Cameron
1458,8,Cameron
1642,9,Cameron
1600,10,Cameron
1617,11,Cameron
1431,12,Cameron
1431,13,Cameron
2027,14,Cameron
2139,15,Cameron
72,1,May
450,2,May
511,3,May
471,4,May
182,5,May
394,6,May
525,7,May
655,8,May
876,9,May
708,10,May
755,11,May
786,12,May
786,13,May
730,14,May
733,15,May
547,16,May
790,17,May
855,18,May
855,19,May
855,20,May
855,21,May
870,22,May
890,23,May
915,24,May
960,25,May
973,26,May
985,27,May
985,28,May
985,29,May
